id,dealer,date,year,make,model,trim,trim_exact,mileage,price,description,condition,drive,days_on_lot,searchcity,url
450,autoTrader,1/30/2023,2020,Dodge,Challenger,Used 2020 Dodge Challenger R/T Scat Pack,R/T,16215,48000,Used 2020 Dodge Challenger R/T Scat Pack,Used,2 wheel drive - rear,,philadelphia,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=667944887&allListingType=all-cars&city=Philadelphia&state=PA&zip=19111&requestId=off&searchRadius=50&marketExtension=off&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=100&firstRecord=400&referrer=%2Fcars-for-sale%2Fall-cars%2Fphiladelphia-pa-19111%3FrequestId%3Doff%26searchRadius%3D50%26marketExtension%3Doff%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D100%26firstRecord%3D400&clickType=listing
451,autoTrader,1/30/2023,2022,Jeep,Grand,Used 2022 Jeep Grand Cherokee L Overland,Unknown,4385,57900,Used 2022 Jeep Grand Cherokee L Overland,Used,4 wheel drive,,philadelphia,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=663956891&allListingType=all-cars&city=Philadelphia&state=PA&zip=19111&requestId=off&searchRadius=50&marketExtension=off&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=100&firstRecord=400&referrer=%2Fcars-for-sale%2Fall-cars%2Fphiladelphia-pa-19111%3FrequestId%3Doff%26searchRadius%3D50%26marketExtension%3Doff%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D100%26firstRecord%3D400&clickType=listing
452,autoTrader,1/30/2023,2022,Ram,Ram,Used 2022 RAM 1500 Big Horn,Unknown,1294,46950,Used 2022 RAM 1500 Big Horn,Used,4 wheel drive,,philadelphia,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=670876282&allListingType=all-cars&city=Philadelphia&state=PA&zip=19111&requestId=off&searchRadius=50&marketExtension=off&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=100&firstRecord=400&referrer=%2Fcars-for-sale%2Fall-cars%2Fphiladelphia-pa-19111%3FrequestId%3Doff%26searchRadius%3D50%26marketExtension%3Doff%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D100%26firstRecord%3D400&clickType=listing
453,autoTrader,1/30/2023,2018,Honda,Cr-V,Used 2018 Honda CR-V Touring,TOURING,44098,26000,Used 2018 Honda CR-V Touring,Used,All wheel drive,,philadelphia,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=657827376&allListingType=all-cars&city=Philadelphia&state=PA&zip=19111&requestId=off&searchRadius=50&marketExtension=off&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=100&firstRecord=400&referrer=%2Fcars-for-sale%2Fall-cars%2Fphiladelphia-pa-19111%3FrequestId%3Doff%26searchRadius%3D50%26marketExtension%3Doff%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D100%26firstRecord%3D400&clickType=listing
454,autoTrader,1/30/2023,2015,Lexus,Nx,Used 2015 Lexus NX 200t F Sport,Sport,36597,27000,Used 2015 Lexus NX 200t F Sport,Used,2 wheel drive - front,,philadelphia,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=661948573&allListingType=all-cars&city=Philadelphia&state=PA&zip=19111&requestId=off&searchRadius=50&marketExtension=off&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=100&firstRecord=400&referrer=%2Fcars-for-sale%2Fall-cars%2Fphiladelphia-pa-19111%3FrequestId%3Doff%26searchRadius%3D50%26marketExtension%3Doff%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D100%26firstRecord%3D400&clickType=listing
455,autoTrader,1/30/2023,2016,Lexus,Rx,Certified 2016 Lexus RX 350 F Sport,Sport,46848,34900,Certified 2016 Lexus RX 350 F Sport,New,All wheel drive,,philadelphia,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=660605861&allListingType=all-cars&city=Philadelphia&state=PA&zip=19111&requestId=off&searchRadius=50&marketExtension=off&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=100&firstRecord=400&referrer=%2Fcars-for-sale%2Fall-cars%2Fphiladelphia-pa-19111%3FrequestId%3Doff%26searchRadius%3D50%26marketExtension%3Doff%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D100%26firstRecord%3D400&clickType=listing
456,autoTrader,1/30/2023,2019,Lincoln,Mkc,Used 2019 Lincoln MKC Premiere,Unknown,37622,23399,Used 2019 Lincoln MKC Premiere,Used,All wheel drive,,philadelphia,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=669108085&allListingType=all-cars&city=Philadelphia&state=PA&zip=19111&requestId=off&searchRadius=50&marketExtension=off&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=100&firstRecord=400&referrer=%2Fcars-for-sale%2Fall-cars%2Fphiladelphia-pa-19111%3FrequestId%3Doff%26searchRadius%3D50%26marketExtension%3Doff%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D100%26firstRecord%3D400&clickType=listing
457,autoTrader,1/30/2023,2019,Lincoln,Continental,Used 2019 Lincoln Continental Select,Unknown,34311,30499,Used 2019 Lincoln Continental Select,Used,2 wheel drive - front,,philadelphia,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=670560694&allListingType=all-cars&city=Philadelphia&state=PA&zip=19111&requestId=off&searchRadius=50&marketExtension=off&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=100&firstRecord=400&referrer=%2Fcars-for-sale%2Fall-cars%2Fphiladelphia-pa-19111%3FrequestId%3Doff%26searchRadius%3D50%26marketExtension%3Doff%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D100%26firstRecord%3D400&clickType=listing
458,autoTrader,1/30/2023,2019,Lincoln,Continental,Used 2019 Lincoln Continental Select,Unknown,37375,32499,Used 2019 Lincoln Continental Select,Used,All wheel drive,,philadelphia,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=668024687&allListingType=all-cars&city=Philadelphia&state=PA&zip=19111&requestId=off&searchRadius=50&marketExtension=off&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=100&firstRecord=400&referrer=%2Fcars-for-sale%2Fall-cars%2Fphiladelphia-pa-19111%3FrequestId%3Doff%26searchRadius%3D50%26marketExtension%3Doff%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D100%26firstRecord%3D400&clickType=listing
459,autoTrader,1/30/2023,2019,Ford,Ranger,Certified 2019 Ford Ranger XLT w/ Equipment Group 302A Luxury,XLT,21532,34199,Certified 2019 Ford Ranger XLT w/ Equipment Group 302A Luxury,New,4 wheel drive,,philadelphia,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=670071966&allListingType=all-cars&city=Philadelphia&state=PA&zip=19111&requestId=off&searchRadius=50&marketExtension=off&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=100&firstRecord=400&referrer=%2Fcars-for-sale%2Fall-cars%2Fphiladelphia-pa-19111%3FrequestId%3Doff%26searchRadius%3D50%26marketExtension%3Doff%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D100%26firstRecord%3D400&clickType=listing
